city,category,name,lat,lon,osm_type,osm_id
Annecy,museum,Musée d'art contemporain et d'art régional,45.8976558,6.1260521,node,3640440188
Annecy,museum,Observatoire régional des lacs alpins,45.8976377,6.1268333,node,4891589832
Annecy,museum,Centre d’Interprétation de l’Architecture et du Patrimoine,45.8985741,6.1269826,node,12157595234
Annecy,museum,Ecomusée du lac d'Annecy,45.8641436,6.1420278,node,12534072471
Annecy,museum,Musée de la Cloche PACCARD,45.8442658,6.1508093,way,70568938
Annecy,park,Piano,45.9375105,6.1328994,node,12161642821
Annecy,park,Parc des Marquisats - Clos Laeuffer,45.892282,6.1343779,node,13158475106
Annecy,park,Parc Vignières-Pommaries,45.9134793,6.147292,way,24393219
Annecy,park,Le Pâquier,45.9018343,6.1318435,way,24522215
Annecy,park,Île Saint-Joseph,45.8984796,6.1213839,way,24669685
Annecy,park,Square Bernard Bosson,45.900026,6.1248227,way,25008757
Annecy,park,Parc Charles Bosson,45.9035588,6.1433378,way,26184739
Annecy,park,Les Jardins de l'Europe,45.8992588,6.1308443,way,26185233
Annecy,park,Plage d'Albigny,45.9046134,6.1478368,way,30702787
Annecy,park,Square du 8 Mai 1945,45.9063805,6.1296221,way,36279570
Annecy,park,Square du Collège,45.8997235,6.1269862,way,37202343
Annecy,park,Square des Hirondelles,45.9051164,6.1182314,way,37666717
Annecy,park,Square des Laurentides,45.8987672,6.1139672,way,37704381
Annecy,park,Square de Stalingrad,45.900656,6.121786,way,37760411
Annecy,park,Sans nom,45.9005623,6.1201578,way,37763050
Annecy,park,Place aux Bois,45.8977901,6.1293422,way,40430734
Annecy,park,Jardin des Remparts,45.8975353,6.1243493,way,40432581
Annecy,park,Salle polyvalente,45.8814113,6.1799527,way,62953732
Annecy,park,Parc Gabriel Fauré,45.9185409,6.1429246,way,85254153
Annecy,park,Parc des Raisses,45.9120701,6.1511227,way,206114457
Annecy,park,Parc du Pré de Vassy,45.8886309,6.0925024,way,237190197
Annecy,park,Parc esplanade Paul Grimault,45.9030164,6.1243835,way,256280732
Annecy,park,Square de la Côte Perrière,45.8975724,6.1274691,way,272998078
Annecy,park,Sans nom,45.859081,6.1862032,way,303746843
Annecy,park,Square Angoulême,45.8863852,6.098195,way,315876471
Annecy,park,Square des Clarines,45.9149886,6.1406826,way,338045445
Annecy,park,Sans nom,45.8994826,6.113506,way,346564718
Annecy,park,Parc du Petit Brogny,45.9271132,6.1276911,way,352059216
Annecy,park,Sans nom,45.8595598,6.1435041,way,388476451
Annecy,park,Plage municipale de Sevrier,45.8626204,6.1438757,way,388478099
Annecy,park,Parc le Trésum,45.8964642,6.1297103,way,405709936
Annecy,park,Plage Municipale,45.8636877,6.1865971,way,420107672
Annecy,park,Square des Martyrs de la Déportation,45.9021743,6.1273516,way,455743817
Annecy,park,Sans nom,45.8727066,6.1432933,way,461923759
Annecy,park,Parc Quai de la Tournette,45.8974439,6.1315191,way,462034522
Annecy,park,Place de l'Abbaye,45.9165323,6.1400522,way,513651361
Annecy,park,Jardin Public du 8 mai 1945,45.9079999,6.1079304,way,536752626
Annecy,park,Promenade Cheltenham,45.8914875,6.1397536,way,551398343
Annecy,park,Parc des Artisans,45.9105445,6.1388587,way,562162766
Annecy,park,Sans nom,45.9121933,6.1287899,way,564771956
Annecy,park,Sans nom,45.9116583,6.128861,way,564771957
Annecy,park,Place Longiret,45.8842437,6.0954487,way,596565660
Annecy,park,Square Riante Colline,45.9014421,6.0967956,way,607862505
Annecy,park,Square des Pervenches,45.9029886,6.1000146,way,609724190
Annecy,park,Sans nom,45.9107849,6.140199,way,632869105
Annecy,park,Parc du Lachat,45.9237619,6.1476609,way,663500781
Annecy,park,Pelouse,45.8869395,6.0965432,way,679004505
Annecy,park,Sans nom,45.9029539,6.142461,way,696765367
Annecy,park,Parc du Taillefer,45.8978925,6.1010773,way,759025423
Annecy,park,Square des Romains,45.9081253,6.1212599,way,784420314
Annecy,park,Parc de Malaz,45.8792498,6.1009857,way,791027196
Annecy,park,Sans nom,45.856324,6.1464514,way,837001969
Annecy,park,Sans nom,45.8683702,6.1835281,way,850531521
Annecy,park,Sans nom,45.8874067,6.1725807,way,850532974
Annecy,park,Square Camille Mugnier,45.9159735,6.1274776,way,865673634
Annecy,park,Sans nom,45.9095716,6.0902784,way,875744902
Annecy,park,Sans nom,45.9110061,6.0887948,way,875835088
Annecy,park,Sans nom,45.944232,6.1185351,way,886633817
Annecy,park,Sans nom,45.9410757,6.1421114,way,888284665
Annecy,park,Parc du Val Vert - Bassin de Loverchy,45.8884619,6.108323,way,891572225
Annecy,park,Sans nom,45.9160597,6.0868418,way,893087530
Annecy,park,Les Crêts,45.9437042,6.0993584,way,893383601
Annecy,park,Sans nom,45.9092928,6.0938783,way,893661578
Annecy,park,Sans nom,45.9252386,6.1039379,way,893677222
Annecy,park,Aires des Jeux,45.9039137,6.0940805,way,898023448
Annecy,park,Sans nom,45.9176696,6.0944247,way,900888422
Annecy,park,Square Paul Valéry,45.8994989,6.10919,way,905915245
Annecy,park,Parc des Papeteries,45.9074018,6.1045771,way,911362296
Annecy,park,Sans nom,45.8992861,6.1169503,way,929093579
Annecy,park,Square Jean Chamey,45.9153206,6.0918888,way,955841144
Annecy,park,Jardin du Manoir de Novel,45.9180903,6.1352636,way,961368140
Annecy,park,Sans nom,45.9046807,6.1095716,way,964054870
Annecy,park,Sans nom,45.9370669,6.0838501,way,964615984
Annecy,park,Square Louise Michel,45.9220456,6.1230635,way,973323066
Annecy,park,Square Gilette,45.9187962,6.1241549,way,973323095
Annecy,park,Sans nom,45.9150515,6.1184019,way,973323112
Annecy,park,Sans nom,45.91449,6.1194497,way,973323114
Annecy,park,Sans nom,45.9387393,6.090403,way,974012555
Annecy,park,Sans nom,45.8858158,6.1057728,way,974649366
Annecy,park,Parc du Parmelan,45.9098953,6.1377011,way,978464837
Annecy,park,Parc Jardin Galbert,45.9083705,6.1250875,way,981325197
Annecy,park,Place Galbert,45.9088991,6.1242294,way,981325198
Annecy,park,Sans nom,45.9061988,6.152555,way,982351665
Annecy,park,Parc du Colovry,45.9059615,6.1489924,way,982351666
Annecy,park,Square des Salomons,45.9095824,6.1394023,way,982351710
Annecy,park,Sans nom,45.9101329,6.1376764,way,988376715
Annecy,park,Place des Efléchères,45.8981414,6.1265207,way,1041580668
Annecy,park,Sans nom,45.8996602,6.1173966,way,1134011387
Annecy,park,Square du Jourdil,45.9064224,6.0994243,way,1145042140
Annecy,park,Sans nom,45.833009,6.1650661,way,1148865927
Annecy,park,Sans nom,45.8370422,6.1562176,way,1150813632
Annecy,park,Sans nom,45.8361381,6.1578527,way,1150813633
Annecy,park,Sans nom,45.8381401,6.1570932,way,1150813636
Annecy,park,Sans nom,45.8464095,6.1432048,way,1158545623
Annecy,park,Sans nom,45.8469008,6.1431183,way,1159130724
Annecy,park,Sans nom,45.8484474,6.1412964,way,1159130755
Annecy,park,Sans nom,45.845496,6.1420467,way,1159130756
Annecy,park,Sans nom,45.8831472,6.1421891,way,1165237671
Annecy,park,Sans nom,45.8746951,6.1426163,way,1165439419
Annecy,park,Sans nom,45.9049611,6.1066204,way,1185725587
Annecy,park,Sans nom,45.8975338,6.1173139,way,1185895028
